w0 w1 height_keep balance_keep mimic_q mimic_dq cmd_linear cmd_angular torque torque_d contact terminal 
0.01 0.949999 6126.8 8333.91 12.1233 695.3 906.727 8496.04 8981.81 3600.1 178.87 0 
0.01 0.959999 5861.72 8794.71 11.7129 701.416 1065.63 8862.67 8992.39 3710.16 182.907 0 
0.01 0.969999 5639.82 9049.08 11.3192 668.011 1208.99 9150.09 9003.09 3792.68 187.035 0 
0.01 0.979999 5465.38 8983.68 10.9719 677.517 1344 9296.83 9010.28 3856.43 180.855 0 
0.01 0.989999 5334.03 8735.04 10.6464 689.34 1447.2 9258.92 9015.51 3901.75 176.546 0 
0.02 0 9932.38 9686.09 6677.65 5640.83 9194.47 9135.23 8684.52 3188.6 870.866 0 
0.02 0.01 9950.27 9796.79 6760.38 5641.66 9442.28 9253.29 8702.42 3395.25 921.617 0 
0.02 0.02 9964.37 9867.11 6809.68 5620.82 9574.13 9180.48 8726.23 3534.82 961.52 0 
0.02 0.03 9973.9 9894.53 6829.59 5575.23 9592.77 9050.81 8748.47 3702.68 991.579 0 
0.02 0.04 9979.82 9898.03 6823.41 5496.81 9479.89 8838.16 8774.15 3876.21 1009.79 0 
0.02 0.05 9983.38 9864.88 6801.37 5397.92 9244.86 8654.33 8796.93 4065.3 1028.41 0 
0.02 0.06 9984.91 9802.96 6760.23 5274.28 8872.82 8452.99 8819.43 4250.32 1049.28 0 
0.02 0.07 9984.88 9715.45 6699.64 5126.94 8355.83 8204.19 8843.55 4441.09 1078.97 0 
0.02 0.08 9983.02 9603.09 6619.39 4950.98 7717.73 7911.72 8870.16 4585.38 1109.07 0 
0.02 0.09 9979.73 9470.8 6519.38 4759.26 6971.93 7613.27 8897.97 4725.78 1144.15 0 
0.02 0.1 9974.58 9317.38 6403.24 4551.65 6152.87 7337.86 8927.06 4884.62 1189.18 0 
0.02 0.11 9967.5 9146.94 6264.85 4325.53 5283.34 7106.03 8959.37 5063.29 1237.9 0 
0.02 0.12 9961.29 8956.97 6108.31 4086.82 4452.79 6810.66 8995.17 5274.5 1274.81 0 
0.02 0.13 9953.33 8751.13 5934.51 3843.48 3633.15 6606.26 9032.49 5523.86 1317.44 0 
0.02 0.14 9942.63 8535.07 5750.82 3601.67 2843.75 6382.85 9070.05 5755.03 1384.31 0 
0.02 0.15 9933.3 8365.82 5542.19 3358.12 2095.59 6058.41 9119.21 5985.34 1431.48 0 
0.02 0.16 9920.73 8229.56 5314.73 3118.91 1444.53 5769.99 9173.84 6164.78 1519.47 0 
0.02 0.17 9908.2 8138.12 5080.16 2893.28 979.514 5450.22 9228.79 6401.76 1654.65 0 
0.02 0.18 9896.25 8153.99 4818.59 2684.45 666.577 4943.14 9287.89 6635.13 1894.08 0 
0.02 0.19 9873.25 8254.76 4518.13 2469.21 499.869 4269.49 9330.25 6861.42 2009.74 0 
0.02 0.2 9820.56 8134.56 4209.11 2273.72 440.262 3569.08 9361.63 7067.94 1748.99 0 
0.02 0.21 9773.92 8034.24 3944.89 2108.83 403.986 3133.37 9398.11 7299.35 1680.11 0 
0.02 0.22 9739.29 7935.8 3717.89 1972.26 379.848 2997.73 9443.62 7467.6 1654.46 0 
0.02 0.23 9724.12 8029.04 3466.39 1853.03 360.574 2616.29 9475.15 7624.43 1338.95 0 
0.02 0.24 9722.98 7985.06 3133.73 1760.14 343.411 1821.68 9428.75 7666.13 862.733 0 
0.02 0.25 9715.82 6830.46 2732.69 1680.23 328.283 1041.67 9314.86 7702.1 764.201 0 
0.02 0.26 9696.65 6679.87 2588.35 1628.17 314.006 929.716 9330.88 7797.39 767.738 0 
0.02 0.27 9671.54 6432.83 2449.49 1583.61 301.139 823.756 9349.3 7877.09 781.808 0 
0.02 0.28 9642.24 6134.05 2312.32 1539.71 288.989 791.658 9363.26 7938.21 808.076 0 
0.02 0.29 9608.73 6034.8 2186.77 1506.81 277.223 770.472 9374.36 8009.24 841.87 0 
0.02 0.3 9575.46 6012.2 2068.53 1478.91 266.002 747.039 9382.4 8074.79 875.824 0 
0.02 0.31 9533.3 5891.7 1949.09 1454.76 254.984 739.938 9387.74 8142.65 906.826 0 
0.02 0.32 9488.18 5899.18 1840.46 1437.03 244.987 737.143 9390.96 8194.55 913.892 0 
0.02 0.33 9449.87 5935.58 1740.79 1429.41 234.948 728.204 9398.51 8253.06 880.098 0 
0.02 0.34 9390.72 5690.16 1656.3 1411 225.55 750.166 9413.49 8293.56 883.545 0 
0.02 0.35 9306.65 5082.21 1608.74 1388.7 216.604 797.122 9448.7 8341.29 907.102 0 
0.02 0.36 9279.37 4951.55 1556.96 1374.32 207.741 847.18 9463.95 8394.43 963.807 0 
0.02 0.37 9263.37 5057.87 1497.07 1364.75 199.51 896.339 9476.18 8459.3 1022.3 0 
0.02 0.38 9257.93 5363.63 1435.52 1354.56 191.383 978.079 9488.97 8517.13 1160.84 0 
0.02 0.39 9261.53 5809.7 1372.25 1348.55 183.95 1126.98 9506.35 8577.72 1364.77 0 
0.02 0.4 9288.59 6614.39 1308.19 1341.78 177.497 1355.57 9527.96 8633.27 1749.54 0 
0.02 0.41 9357.56 7684.87 1247.09 1329.5 171.177 2037.09 9588.32 8724.38 2839.77 0 
0.02 0.42 9374.8 7963.35 1179.01 1323.47 164.945 3352.07 9662.36 8861.48 3526.88 0 
0.02 0.43 9357.45 8031.85 1109.68 1314.99 159.736 3807.15 9686.67 8933.04 3818.29 0 
0.02 0.44 9337.98 8094.43 1043.88 1307.32 155.134 4160.21 9706.43 8998.57 4117.06 0 
0.02 0.45 9317.63 8153.74 982.262 1300.42 151.284 4435.52 9723.95 9054.86 4398.01 0 
0.02 0.46 9297.18 8216.71 925.194 1294.01 148.583 4666.83 9738.39 9118.46 4615.1 0 
0.02 0.47 9277.4 8277.4 871.696 1288.1 146.352 4908.42 9753.9 9169.39 4780.64 0 
0.02 0.48 9257.15 8338.08 822.702 1282.39 144.858 5141.18 9767.77 9223.43 4896.97 0 
0.02 0.49 9238.23 8390.83 777.253 1277.59 144.163 5386.46 9780.71 9273.72 5022.31 0 
0.02 0.5 9221.35 8437.86 735.774 1273.47 143.757 5627.79 9793.59 9323.19 5127.16 0 
0.02 0.51 9207.94 8473.22 696.883 1270.08 143.349 5730.03 9804.79 9368.34 5253.58 0 
0.02 0.52 9194.73 8487.91 661.214 1267.44 143.014 5934.67 9814.99 9410.76 5337.58 0 
0.02 0.53 9184.39 8483.79 628.606 1265.51 142.805 6099.36 9824.36 9450.83 5406.07 0 
0.02 0.54 9177.09 8451.2 598.838 1263.92 142.761 6203.93 9833.06 9492.3 5475.21 0 
0.02 0.55 9173.46 8388.47 570.999 1261.96 143.368 6250.27 9840.73 9535.33 5460.95 0 
