x z pitch q0 q1 q2 q3 q4 q5 q6 q7 q8 q9 q10 q11 dq0 dq1 dq2 dq3 dq4 dq5 dq6 dq7 dq8 dq9 dq10 dq11 roll 
0.0156713 0.28 0 0 -0.832099 1.70796 4.21406e-17 -0.941781 1.74464 -4.21406e-17 -0.941781 1.74464 0 -0.832099 1.70796 0 -0.179188 0.0134993 2.02791e-16 -2.29178 4.47765 -2.02791e-16 -2.29178 4.47765 0 -0.179188 0.0134993 0 
0.0162256 0.28 0 0 -0.832687 1.708 4.26544e-17 -0.947339 1.75577 -4.26544e-17 -0.947339 1.75577 0 -0.832687 1.708 0 -0.293885 0.0219238 2.56883e-16 -2.77908 5.56483 -2.56883e-16 -2.77908 5.56483 0 -0.293885 0.0219238 0 
0.0167894 0.28 0 0 -0.833504 1.70806 0 -0.954021 1.76935 0 -0.954021 1.76935 0 -0.833504 1.70806 0 -0.408174 0.0300033 -2.13272e-14 -3.34109 6.78817 2.13272e-14 -3.34109 6.78817 0 -0.408174 0.0300033 0 
0.0173626 0.28 0 0 -0.834547 1.70814 0 -0.961953 1.7856 0 -0.961953 1.7856 0 -0.834547 1.70814 0 -0.521645 0.037587 0 -3.96578 8.12546 0 -3.96578 8.12546 0 -0.521645 0.037587 0 
0.0179453 0.28 0 0 -0.835815 1.70823 0 -0.97122 1.80468 0 -0.97122 1.80468 0 -0.835815 1.70823 0 -0.633899 0.0445295 0 -4.63362 9.54101 0 -4.63362 9.54101 0 -0.633899 0.0445295 0 
0.0185373 0.28 0 0 -0.837304 1.70833 0 -0.981855 1.82665 0 -0.981855 1.82665 0 -0.837304 1.70833 0 -0.744533 0.0506911 0 -5.31743 10.9854 0 -5.31743 10.9854 0 -0.744533 0.0506911 0 
0.0191388 0.28 0 0 -0.83901 1.70844 0 -0.993821 1.85145 0 -0.993821 1.85145 0 -0.83901 1.70844 0 -0.853154 0.0559407 0 -5.98284 12.3968 0 -5.98284 12.3968 0 -0.853154 0.0559407 0 
0.0197496 0.28 0 0 -0.840929 1.70856 0 -1.007 1.87885 0 -1.007 1.87885 0 -0.840929 1.70856 0 -0.95937 0.0601572 0 -6.58962 13.703 0 -6.58962 13.703 0 -0.95937 0.0601572 0 
0.0203699 0.28 0 0 -0.843054 1.70869 0 -1.02119 1.9085 0 -1.02119 1.9085 0 -0.843054 1.70869 0 -1.06279 0.0632309 0 -7.09369 14.8261 0 -7.09369 14.8261 0 -1.06279 0.0632309 0 
0.0209995 0.28 0 0 -0.84538 1.70882 0 -1.03609 1.93988 0 -1.03609 1.93988 0 -0.84538 1.70882 0 -1.16305 0.065066 0 -7.44977 15.6871 0 -7.44977 15.6871 0 -1.16305 0.065066 0 
0.0216385 0.28 0 0 -0.8479 1.70895 0 -1.05132 1.9723 0 -1.05132 1.9723 0 -0.8479 1.70895 0 -1.25977 0.0655809 0 -7.61448 16.2111 0 -7.61448 16.2111 0 -1.25977 0.0655809 0 
0.0222869 0.28 0 0 -0.850605 1.70908 0 -1.06641 2.00497 0 -1.06641 2.00497 0 -0.850605 1.70908 0 -1.35258 0.0647108 0 -7.54961 16.3336 0 -7.54961 16.3336 0 -1.35258 0.0647108 0 
0.0229446 0.28 0 0 -0.853487 1.7092 0 -1.08087 2.03698 0 -1.08087 2.03698 0 -0.853487 1.7092 0 -1.44112 0.0624081 0 -7.22549 16.0051 0 -7.22549 16.0051 0 -1.44112 0.0624081 0 
0.0236117 0.28 0 0 -0.856537 1.70932 0 -1.09411 2.06737 0 -1.09411 2.06737 0 -0.856537 1.70932 0 -1.52506 0.0586442 0 -6.62416 15.1957 0 -6.62416 15.1957 0 -1.52506 0.0586442 0 
0.024288 0.28 0 0 -0.859746 1.70943 0 -1.1056 2.09516 0 -1.1056 2.09516 0 -0.859746 1.70943 0 -1.60405 0.0534103 0 -5.74217 13.8982 0 -5.74217 13.8982 0 -1.60405 0.0534103 0 
0.0249738 0.28 0 0 -0.863101 1.70952 0 -1.11478 2.11942 0 -1.11478 2.11942 0 -0.863101 1.70952 0 -1.67777 0.046718 0 -4.59269 12.13 0 -4.59269 12.13 0 -1.67777 0.046718 0 
0.0256688 0.28 0 0 -0.866593 1.7096 0 -1.1212 2.13929 0 -1.1212 2.13929 0 -0.866593 1.7096 0 -1.7459 0.0386005 0 -3.20646 9.93352 0 -3.20646 9.93352 0 -1.7459 0.0386005 0 
0.0263731 0.28 0 0 -0.870209 1.70965 0 -1.12446 2.15404 0 -1.12446 2.15404 0 -0.870209 1.70965 0 -1.80814 0.0291125 0 -1.63104 7.37474 0 -1.63104 7.37474 0 -1.80814 0.0291125 0 
0.0270867 0.28 0 0 -0.873938 1.70969 -7.31104e-17 -1.12432 2.16312 7.31104e-17 -1.12432 2.16312 0 -0.873938 1.70969 0 -1.8642 0.0183313 -3.65552e-14 0.0718677 4.54034 3.65552e-14 0.0718677 4.54034 0 -1.8642 0.0183313 0 
0.0278096 0.28 0 0 -0.877765 1.7097 0 -1.12065 2.16619 0 -1.12065 2.16619 0 -0.877765 1.7097 0 -1.9138 0.00635622 3.65552e-14 1.83114 1.53317 -3.65552e-14 1.83114 1.53317 0 -1.9138 0.00635622 0 
0.0285418 0.28 0 0 -0.881679 1.70969 7.31104e-17 -1.11351 2.16312 -7.31104e-17 -1.11351 2.16312 0 -0.881679 1.70969 0 -1.95667 -0.00669121 3.65552e-14 3.57244 -1.53357 -3.65552e-14 3.57244 -1.53357 0 -1.95667 -0.00669121 0 
0.0292833 0.28 0 0 -0.885664 1.70965 0 -1.10306 2.15403 0 -1.10306 2.15403 0 -0.885664 1.70965 0 -1.99256 -0.0206676 -3.65552e-14 5.22466 -4.54311 3.65552e-14 5.22466 -4.54311 0 -1.99256 -0.0206676 0 
0.030034 0.28 0 0 -0.889706 1.70958 0 -1.08961 2.13927 0 -1.08961 2.13927 0 -0.889706 1.70958 0 -2.02124 -0.0354083 0 6.72556 -7.38211 0 6.72556 -7.38211 0 -2.02124 -0.0354083 0 
0.030794 0.28 0 0 -0.893791 1.70948 0 -1.07356 2.11938 0 -1.07356 2.11938 0 -0.893791 1.70948 0 -2.04247 -0.0507282 0 8.02551 -9.94747 0 8.02551 -9.94747 0 -2.04247 -0.0507282 0 
0.0315632 0.28 0 0 -0.897903 1.70934 0 -1.05538 2.09507 0 -1.05538 2.09507 0 -0.897903 1.70934 0 -2.05605 -0.0664231 0 9.08913 -12.1522 0 9.08913 -12.1522 0 -2.05605 -0.0664231 0 
0.0323416 0.28 0 0 -0.902027 1.70918 0 -1.03559 2.06721 0 -1.03559 2.06721 0 -0.902027 1.70918 0 -2.06178 -0.0822706 0 9.89531 -13.9299 0 9.89531 -13.9299 0 -2.06178 -0.0822706 0 
0.0331293 0.28 0 0 -0.906146 1.70898 0 -1.01472 2.03674 0 -1.01472 2.03674 0 -0.906146 1.70898 0 -2.05947 -0.0980322 0 10.4361 -15.2381 0 10.4361 -15.2381 0 -2.05947 -0.0980322 0 
0.0339261 0.28 0 0 -0.910244 1.70876 0 -0.993285 2.00462 0 -0.993285 2.00462 0 -0.910244 1.70876 0 -2.04894 -0.113455 0 10.7152 -16.0589 0 10.7152 -16.0589 0 -2.04894 -0.113455 0 
